"","Name","25-Aug","","Team","","","","","","","","","","","",""
"180","Stephen Kolek","110","663568","KCR","-7.1","75","80%","80","112.2","9.98%","4.64","16.19%","94","102","99","3.51"
"181","Eduardo Rodriguez","135","593958","ARI","-1.8","144","73%","143","154.1","11.96%","4.67","19.79%","91","100","93","5.02"
"182","Caden Dana","","702674","LAA","-14.5","101","80%","90","114","10.60%","4.89","20.63%","90","92","85",""
"183","Tyler Wells","","669330","BAL","-3.6","75","53%","102","47","19.50%","4.68","20.92%","99","105","99",""
"184","Emerson Hancock","191","676106","SEA","-6.3","55","80%","60","90","8.57%","4.33","18.70%","90","99","87","4.9"
"185","Quinn Mathews","225","687273","STL","-9.9","71","","46","","","4.52","21.12%","","","",""
"186","Ryan Bergert","113","686701","KCR","-10.3","88","78%","68","76.1","11.76%","5.14","17.93%","92","102","96","3.66"
"187","Kutter Crawford","","676710","BOS","-0.4","65","","120","0","","4.47","21.99%","","","",""
"188","AJ Blubaugh","155","805123","HOU","-10.7","75","78%","53","32","19.35%","4.7","20.50%","103","100","102","1.69"
"189","Rhett Lowder","225","695076","CIN","-8.2","88","","90","","","4.52","18.83%","","","",""
"190","Cody Bradford","","674003","TEX","-2","88","","105","","","4.37","19.79%","","","",""
"191","Jordan Montgomery","","656756","","-6.5","","","91","0","","4.4","18.68%","","","",""
"192","Bryce Elder","130","693821","ATL","-8.5","","92%","63","156.1","11.78%","4.44","19.12%","92","104","98","5.3"
"193","Alek Manoah","","666201","LAA","-11.4","75","","108","38.2","","5.28","17.64%","","","",""
"194","Jason Alexander","","669920","HOU","-8.7","55","78%","51","141.1","11.60%","4.67","17.42%","93","100","94",""
"195","Lance McCullers Jr.","100","621121","HOU","-5.1","65","43%","123","","","4.5","21.42%","97","92","92",""
"196","Chase Dollander","134","801403","COL","-21.8","","76%","133","98","7.48%","5.04","20.93%","97","97","94","6.52"
"197","Logan Allen","147","671106","CLE","-7.7","99","94%","123","156.2","8.88%","4.67","17.94%","91","99","91","4.25"
"198","Joey Wentz","118","666214","ATL","-8.1","70","86%","60","98","11.09%","4.46","21.51%","95","103","96","5.6"
"199","Zack Littell","102","641793","","-0.2","","91%","177","186.2","12.91%","4.85","17.63%","88","101","91","3.81"
"200","Corbin Burnes","","669203","ARI","-6.1","39","75%","38","64.2","14.00%","3.8","22.87%","102","100","105",""
"201","Jake Irvin","120","663623","WSN","-8.6","100","97%","96","180","7.88%","5.02","17.12%","92","102","93","5.7"
"202","Keider Montero","131","672456","DET","-6.8","85","87%","87","90.2","10.54%","4.58","19.32%","97","100","95","4.37"
"203","Josiah Gray","","680686","WSN","-14.8","","","118","","","5.2","17.73%","","","",""
"204","Sawyer Gipson-Long","","687830","DET","-6.4","71","63%","56","31.1","15.04%","4.16","20.85%","95","104","98","7.18"
"205","Didier Fuentes","115","800311","ATL","","35","76%","10","13","8.70%","4.27","22.50%","109","94","101","13.85"
"206","Christian Scott","","681035","NYM","-5.7","45","","51","","","3.87","22.52%","","","",""
"207","Chris Paddack","103","663978","","-6","","73%","124","158","11.19%","4.79","17.36%","91","111","102","5.35"
"208","Bailey Falter","","663559","KCR","-8.7","","85%","74","125.1","6.76%","5.49","15.36%","93","100","94","4.45"
"209","Janson Junk","105","676083","MIA","-5.3","","80%","77","110","14.32%","4.39","17.35%","96","111","106","4.17"
"210","Kyle Harrison","105","690986","BOS","-3.8","","80%","78","35.2","15.38%","4.32","22.95%","104","108","107","4.04"
"211","Ryan Gusto","106","687473","MIA","-8.4","","79%","35","101.2","13.47%","4.55","19.35%","98","101","98","5.67"
"212","Jose Quintana","107","500779","","-11.1","","84%","145","131.2","7.01%","4.95","16.33%","86","104","91","3.96"
