"player_type","player_name","team","position","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","ip","k","sv","hld","ottoneu_fg_pts"
"hitter","Nolan Arenado","ARI","3B",375.89,550.9,504.2,125.8,24.6,0.8,37.2,4.3,15.2,2.7,1.3,58.4,65.2,,,,,544.7
"pitcher","Steven Matz","TBR","P",537.89,,,132,,,40,6,18,,,,,136,118,0,1,543.8
"pitcher","Trevor Rogers","BAL","P",169.21,,,138,,,47,6,19,,,,,142,122,0,0,543.3
"pitcher","Zach Eflin","BAL","P",427.95,,,157,,,33,6,23,,,,,151,115,0,1,543.3
"hitter","Andrés Giménez","TOR","2B",326.79,558,504.7,125.3,23.9,2,32.6,13.9,10.6,20.8,4.7,63.8,53.6,,,,,543.1
"hitter","Spencer Horwitz","PIT","1B",386.84,483.2,421.2,108.1,24.8,0.5,52.6,5.1,10.9,2,1.2,55.2,52.5,,,,,534.8
"hitter","Royce Lewis","MIN","3B",180.53,486.2,443.6,109.1,22.5,0.6,35.7,2.6,18.2,10.4,2.9,56.1,60.8,,,,,534.1
"pitcher","Zebby Matthews","MIN","P",309.16,,,115,,,32,5,17,,,,,122,123,0,1,533.7
"pitcher","Cade Horton","CHC","P",192.74,,,116,,,45,6,17,,,,,129,121,0,0,532.9
"hitter","Josh Jung","TEX","3B",325.63,521.4,482.5,119.6,22.8,1.1,30,4.3,17.6,4.3,1.6,56.7,62.9,,,,,531.5
"hitter","Jorge Soler","LAA","OF",431.74,472.4,414,94.3,18.7,0.2,48.9,5,21.2,0.9,0.5,55.1,61.4,,,,,530.9
"hitter","Addison Barger","TOR","3B, OF",196.89,474.9,428.6,104.5,24.6,1,38.5,3.9,17.5,4.2,1.4,57.2,61.8,,,,,530
"hitter","Andrew Benintendi","CHW","OF",427.89,493.9,443.6,110.9,20,1.3,42.5,2.7,15.6,3.3,1,54.8,56.5,,,,,528.6
"pitcher","Jameson Taillon","CHC","P",328.79,,,149,,,39,6,24,,,,,150,118,0,0,528.4
"hitter","Jordan Walker","STL","OF",358.11,507.8,460.6,112.1,23.6,1.8,37.4,5.3,15.5,8.9,3,57.5,58.1,,,,,528.1
"pitcher","Cade Cavalli","WSN","P",375.26,,,134,,,50,6,15,,,,,135,115,0,0,528.1
"pitcher","Taj Bradley","MIN","P",443.74,,,121,,,46,6,18,,,,,130,127,0,1,528
"pitcher","Cam Schlittler","NYY","P",138.95,,,99,,,53,6,14,,,,,119,126,0,0,526
"pitcher","Seth Lugo","KCR","P",367.11,,,166,,,51,7,23,,,,,157,126,0,0,525.3
"hitter","Brandon Marsh","PHI","OF",367.37,469.8,416,104.7,20.6,2.6,46,2.8,13,10.2,2.7,57.7,51.2,,,,,525.1
"pitcher","Jacob Lopez","ATH","P",372.05,,,121,,,53,6,20,,,,,133,138,0,0,522.6
"hitter","Ernie Clement","TOR","2B, 3B, SS",290.26,551,514,134.6,26.7,2.3,25.4,3.7,10.2,9.3,3.4,60.5,56.1,,,,,521.9
"pitcher","Landen Roupp","SFG","P",432.05,,,120,,,51,6,14,,,,,126,120,0,1,521.2
"pitcher","Brad Lord","WSN","P",,,,151,,,54,7,18,,,,,147,113,0,1,520.8
"pitcher","Tyler Mahle","SFG","P",342.79,,,135,,,45,6,17,,,,,137,110,0,0,520.7
"hitter","Chase Meidroth","CHW","2B, SS",343.89,531,461,116.3,19.4,1.1,56.5,7.9,6.5,11.6,3.7,60.1,41.6,,,,,519.4
"hitter","Gabriel Moreno","ARI","C",175.26,440.2,391.8,108.1,21.1,1.4,40.7,3.7,10.7,4,1.7,52.9,52.1,,,,,519.2
"pitcher","Ryan Weathers","NYY","P",274,,,110,,,46,6,17,,,,,124,124,0,1,518.5
"pitcher","Michael McGreevy","STL","P",535.16,,,150,,,30,6,17,,,,,139,95,0,1,515.5
"pitcher","Noah Cameron","KCR","P",270.05,,,146,,,46,6,19,,,,,142,116,0,0,513.5
"hitter","Brooks Lee","MIN","2B, 3B, SS",315.89,548.7,503.7,123.2,23.8,1.3,36.1,3.1,13.7,4.1,1.5,57.7,59.7,,,,,513.1
"pitcher","Davis Martin","CHW","P",600.21,,,150,,,53,7,20,,,,,148,115,0,0,509.2
"pitcher","José Berríos","TOR","P",460.11,,,148,,,47,6,21,,,,,145,117,0,1,508.9
"hitter","J.T. Realmuto","PHI","C",194.42,473.8,428.6,107.6,21.5,1.9,31.5,7.1,14.6,7.1,2.1,55.6,56.2,,,,,507.8
"pitcher","Zack Littell","","P",419.84,,,171,,,37,7,29,,,,,162,121,0,0,507.5
"hitter","JJ Wetherholt","STL","SS",236.37,486.9,429.8,106.3,21.5,1.3,45.8,7,10.7,9.6,2.3,53,48.4,,,,,505.6
"pitcher","Roki Sasaki","LAD","P",244.26,,,116,,,54,6,17,,,,,128,122,0,1,504.5
"hitter","Josh Lowe","LAA","OF",276,471.1,426.3,102.2,21.3,2.3,38.5,2.3,13.8,21.2,3.9,56.1,50.9,,,,,502.9
"hitter","Josh Smith","TEX","1B, 3B, SS",325.68,508.5,444.1,106.9,21.3,1.7,47.8,10.8,9.7,9.4,2.8,58.3,47.5,,,,,502.7
"pitcher","Andre Pallante","STL","P",597.84,,,140,,,53,6,12,,,,,134,99,0,0,501
"pitcher","Dean Kremer","BAL","P",483.26,,,138,,,45,6,21,,,,,139,119,0,1,500.5
"pitcher","Sean Burke","CHW","P",512.47,,,132,,,63,7,21,,,,,141,134,0,0,499.9
