"game_date","season","mean_cd","num_pitches","num_games","fetched_at_utc"
2017-06-20,2017,0.33619969975013,1689,15,"2026-07-02T04:53:07Z"
2017-06-21,2017,0.335228851623422,1794,15,"2026-07-02T04:53:07Z"
2017-06-22,2017,0.336573442261384,1245,12,"2026-07-02T04:53:07Z"
2017-06-23,2017,0.325800341378838,1395,15,"2026-07-02T04:53:07Z"
2017-06-24,2017,0.325288076506008,1367,15,"2026-07-02T04:53:07Z"
2017-06-25,2017,0.325679362943575,1475,15,"2026-07-02T04:53:07Z"
2017-06-26,2017,0.329023848767213,900,8,"2026-07-02T04:53:07Z"
2017-06-27,2017,0.334625834622465,1739,15,"2026-07-02T04:53:07Z"
2017-06-28,2017,0.330021226324295,1497,15,"2026-07-02T04:53:07Z"
2017-06-29,2017,0.326445033222271,1009,13,"2026-07-02T04:53:07Z"
2017-06-30,2017,0.330962189351,1351,14,"2026-07-02T04:53:07Z"
2017-07-01,2017,0.327154605075335,1726,17,"2026-07-02T04:53:07Z"
2017-07-02,2017,0.325673742446048,1627,15,"2026-07-02T04:53:07Z"
2017-07-03,2017,0.336719380345771,1061,10,"2026-07-02T04:53:07Z"
2017-07-04,2017,0.336260487710193,1473,15,"2026-07-02T04:53:07Z"
2017-07-05,2017,0.333059107458788,1518,14,"2026-07-02T04:53:07Z"
2017-07-06,2017,0.339295773472316,1344,12,"2026-07-02T04:53:07Z"
2017-07-07,2017,0.337311427696544,1676,15,"2026-07-02T04:53:07Z"
2017-07-08,2017,0.333959958722523,1652,15,"2026-07-02T04:53:07Z"
2017-07-09,2017,0.331077219654696,1404,15,"2026-07-02T04:53:07Z"
2017-07-14,2017,0.330165062106896,1763,15,"2026-07-02T04:53:07Z"
2017-07-15,2017,0.334736383370689,1198,15,"2026-07-02T04:53:07Z"
2017-07-16,2017,0.324590102740333,1525,16,"2026-07-02T04:53:07Z"
2017-07-17,2017,0.334653133423677,1361,13,"2026-07-02T04:53:07Z"
2017-07-18,2017,0.334715052287644,1734,15,"2026-07-02T04:53:07Z"
2017-07-19,2017,0.337496278329588,1753,15,"2026-07-02T04:53:07Z"
2017-07-20,2017,0.330704257846022,893,9,"2026-07-02T04:53:07Z"
2017-07-21,2017,0.334607010982478,1542,15,"2026-07-02T04:53:07Z"
2017-07-22,2017,0.338617072970439,1665,15,"2026-07-02T04:53:07Z"
2017-07-23,2017,0.332676649550606,1648,15,"2026-07-02T04:53:07Z"
2017-07-24,2017,0.336364663917708,1505,13,"2026-07-02T04:53:07Z"
2017-07-25,2017,0.334443505110891,1662,15,"2026-07-02T04:53:07Z"
2017-07-26,2017,0.332704688227371,1582,15,"2026-07-02T04:53:07Z"
2017-07-27,2017,0.332219918394876,680,8,"2026-07-02T04:53:07Z"
2017-07-28,2017,0.330611052294035,1405,14,"2026-07-02T04:53:07Z"
2017-07-29,2017,0.334820306971791,1651,15,"2026-07-02T04:53:07Z"
2017-07-30,2017,0.334192031838032,1867,16,"2026-07-02T04:53:07Z"
2017-07-31,2017,0.337124554446328,838,9,"2026-07-02T04:53:07Z"
2017-08-01,2017,0.335794747202859,1200,15,"2026-07-02T04:53:07Z"
2017-08-02,2017,0.333202621067829,1153,14,"2026-07-02T04:53:07Z"
2017-08-03,2017,0.328909116155747,1398,13,"2026-07-02T04:53:07Z"
2017-08-04,2017,0.325540530017417,1746,15,"2026-07-02T04:53:07Z"
2017-08-05,2017,0.328522952074792,1448,14,"2026-07-02T04:53:07Z"
2017-08-06,2017,0.326816069451335,1401,16,"2026-07-02T04:53:07Z"
2017-08-07,2017,0.330752805932042,730,7,"2026-07-02T04:53:07Z"
2017-08-08,2017,0.334473187216007,1390,15,"2026-07-02T04:53:07Z"
2017-08-09,2017,0.337873052280889,1677,15,"2026-07-02T04:53:07Z"
2017-08-10,2017,0.336107873900796,1479,12,"2026-07-02T04:53:07Z"
2017-08-11,2017,0.338202478625531,1400,14,"2026-07-02T04:53:07Z"
2017-08-12,2017,0.331292872920961,1643,15,"2026-07-02T04:53:07Z"
2017-08-13,2017,0.331667203524444,1565,16,"2026-07-02T04:53:07Z"
2017-08-14,2017,0.326848531101979,1168,11,"2026-07-02T04:53:07Z"
2017-08-15,2017,0.336686957607902,1543,15,"2026-07-02T04:53:07Z"
2017-08-16,2017,0.329369356712346,1434,14,"2026-07-02T04:53:07Z"
2017-08-17,2017,0.329251050373789,1095,11,"2026-07-02T04:53:07Z"
2017-08-18,2017,0.328262489443679,1372,15,"2026-07-02T04:53:07Z"
2017-08-19,2017,0.332571230251557,1448,15,"2026-07-02T04:53:07Z"
2017-08-20,2017,0.33207082420464,1579,14,"2026-07-02T04:53:07Z"
2017-08-21,2017,0.325420096752559,1010,9,"2026-07-02T04:53:07Z"
2017-08-22,2017,0.329203887835977,1646,16,"2026-07-02T04:53:07Z"
2017-08-23,2017,0.327782204566539,1618,15,"2026-07-02T04:53:07Z"
2017-08-24,2017,0.331477997477138,1035,12,"2026-07-02T04:53:07Z"
2017-08-25,2017,0.339287422380849,1509,15,"2026-07-02T04:53:07Z"
2017-08-26,2017,0.334347742826684,1626,15,"2026-07-02T04:53:07Z"
2017-08-27,2017,0.332116788893035,1733,16,"2026-07-02T04:53:07Z"
2017-08-28,2017,0.331650398548706,1039,10,"2026-07-02T04:53:07Z"
2017-08-29,2017,0.335927874539172,1247,13,"2026-07-02T04:53:07Z"
2017-08-30,2017,0.334981271300356,1714,17,"2026-07-02T04:53:07Z"
2017-08-31,2017,0.335061811978003,1060,10,"2026-07-02T04:53:07Z"
2017-09-01,2017,0.331441131595661,1587,14,"2026-07-02T04:53:07Z"
2017-09-02,2017,0.333521314117542,1852,17,"2026-07-02T04:53:07Z"
2017-09-03,2017,0.330863602383053,1653,14,"2026-07-02T04:53:07Z"
2017-09-04,2017,0.332078569728225,1513,15,"2026-07-02T04:53:07Z"
2017-09-05,2017,0.334016433916594,1574,14,"2026-07-02T04:53:07Z"
2017-09-06,2017,0.334289668935823,1334,15,"2026-07-02T04:53:07Z"
2017-09-07,2017,0.334670302833974,863,9,"2026-07-02T04:53:07Z"
2017-09-08,2017,0.33196776870909,1460,15,"2026-07-02T04:53:07Z"
2017-09-09,2017,0.328740592698862,1440,16,"2026-07-02T04:53:07Z"
2017-09-10,2017,0.331286726660666,1496,15,"2026-07-02T04:53:07Z"
2017-09-11,2017,0.336235539786232,863,8,"2026-07-02T04:53:07Z"
2017-09-12,2017,0.330152593359963,1689,15,"2026-07-02T04:53:07Z"
2017-09-13,2017,0.327181524746526,1613,15,"2026-07-02T04:53:07Z"
2017-09-14,2017,0.328110915698275,1257,12,"2026-07-02T04:53:07Z"
2017-09-15,2017,0.341445369969399,1557,15,"2026-07-02T04:53:07Z"
2017-09-16,2017,0.335649561299801,1468,15,"2026-07-02T04:53:07Z"
2017-09-17,2017,0.333033681390704,1664,15,"2026-07-02T04:53:07Z"
2017-09-18,2017,0.33814034912534,760,7,"2026-07-02T04:53:07Z"
2017-09-19,2017,0.334988055879021,1623,15,"2026-07-02T04:53:07Z"
2017-09-20,2017,0.335367271053998,1637,15,"2026-07-02T04:53:07Z"
2017-09-21,2017,0.335580441051541,1010,11,"2026-07-02T04:53:07Z"
