"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"oopsy","oopsy",2026,13620,"Carson Kelly","CHC",330,373,77,14,1,35,4,41,11,40,2,0,0.23366,0.884718498659517,0.0938337801608579,0.0375335120643432,0.00268096514745308,0.0107238605898123,0,0.109919571045576,0.0294906166219839,0.107238605898123,0.00536193029490617,0.206434316353887,0.300268096514745
"oopsy","oopsy",2026,13621,"Jeimer Candelario","LAA",76,84,16,4,0,6,1,9,2,9,1,0,0.214688,0.904761904761905,0.0714285714285714,0.0476190476190476,0,0.0119047619047619,0,0.107142857142857,0.0238095238095238,0.107142857142857,0.0119047619047619,0.19047619047619,0.261904761904762
"oopsy","oopsy",2026,13624,"Corey Seager","TEX",498,567,137,26,0,60,5,77,29,86,3,1,0.275877,0.878306878306878,0.105820105820106,0.0458553791887125,0,0.00881834215167548,0.0017636684303351,0.135802469135802,0.0511463844797178,0.151675485008818,0.00529100529100529,0.241622574955908,0.347442680776014
"oopsy","oopsy",2026,13663,"Jack López",,1,1,0,0,0,0,0,0,0,0,0,0,0.203557,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,13675,"Tyrone Taylor","NYM",249,273,57,13,2,16,5,32,6,29,8,2,0.230087,0.912087912087912,0.0586080586080586,0.0476190476190476,0.00732600732600733,0.0183150183150183,0.00732600732600733,0.117216117216117,0.021978021978022,0.106227106227106,0.0293040293040293,0.208791208791209,0.267399267399267
"oopsy","oopsy",2026,13755,"Tomás Nido","DET",12,13,3,0,0,1,0,1,0,1,0,0,0.221016,0.923076923076923,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0.307692307692308
"oopsy","oopsy",2026,13757,"Chris Taylor","LAA",87,98,19,4,0,9,1,10,2,10,2,1,0.216505,0.887755102040816,0.0918367346938776,0.0408163265306122,0,0.0102040816326531,0.0102040816326531,0.102040816326531,0.0204081632653061,0.102040816326531,0.0204081632653061,0.193877551020408,0.285714285714286
"oopsy","oopsy",2026,13768,"Travis Jankowski","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0.218356,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,13770,"Rob Refsnyder","SEA",233,266,55,11,0,27,4,31,8,31,3,1,0.234708,0.87593984962406,0.101503759398496,0.0413533834586466,0,0.0150375939849624,0.0037593984962406,0.116541353383459,0.0300751879699248,0.116541353383459,0.0112781954887218,0.206766917293233,0.308270676691729
"oopsy","oopsy",2026,13897,"Tyler Heineman","TOR",135,154,30,6,0,13,3,16,2,13,2,1,0.225653,0.876623376623377,0.0844155844155844,0.038961038961039,0,0.0194805194805195,0.00649350649350649,0.103896103896104,0.012987012987013,0.0844155844155844,0.012987012987013,0.194805194805195,0.279220779220779
"oopsy","oopsy",2026,14109,"Albert Almora Jr.",,1,1,0,0,0,0,0,0,0,0,0,0,0.233407,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,14111,"Eric Haase","SFG",12,13,3,0,0,1,0,1,0,1,0,0,0.217191,0.923076923076923,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0.307692307692308
"oopsy","oopsy",2026,14161,"Byron Buxton","MIN",504,560,129,26,4,43,9,81,30,84,18,3,0.255893,0.9,0.0767857142857143,0.0464285714285714,0.00714285714285714,0.0160714285714286,0.00535714285714286,0.144642857142857,0.0535714285714286,0.15,0.0321428571428571,0.230357142857143,0.307142857142857
"oopsy","oopsy",2026,14162,"Carlos Correa","HOU",505,567,133,26,1,53,3,68,17,68,1,1,0.26317,0.890652557319224,0.0934744268077601,0.0458553791887125,0.0017636684303351,0.00529100529100529,0.0017636684303351,0.119929453262787,0.0299823633156966,0.119929453262787,0.0017636684303351,0.234567901234568,0.328042328042328
"oopsy","oopsy",2026,14196,"Andrew Velazquez","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0.207568,1,0,0,0,0,0,0,0,0,0,0,0
